offset,address,idle,live1,live2,post,stable_live,stable_nonzero,changed_from_idle,returns_to_idle
0x0228,0x0ace8228,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x022c,0x0ace822c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0230,0x0ace8230,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0234,0x0ace8234,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0238,0x0ace8238,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x023c,0x0ace823c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0240,0x0ace8240,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0244,0x0ace8244,0x80000000,0x000000b2,0x000000b2,0x80000000,True,True,True,True
0x0248,0x0ace8248,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x024c,0x0ace824c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0250,0x0ace8250,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0254,0x0ace8254,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0258,0x0ace8258,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x025c,0x0ace825c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0260,0x0ace8260,0x80000000,0x000000a8,0x000000a8,0x80000000,True,True,True,True
0x0264,0x0ace8264,0x80000000,0x00000001,0x00000001,0x80000000,True,True,True,True
0x0268,0x0ace8268,0x80000000,0x000000f1,0x000000f1,0x80000000,True,True,True,True
0x026c,0x0ace826c,0x80000000,0x0000003d,0x0000003d,0x80000000,True,True,True,True
0x0270,0x0ace8270,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0274,0x0ace8274,0x80000000,0x00000003,0x00000003,0x80000000,True,True,True,True
0x0278,0x0ace8278,0x80000000,0x00000020,0x00000020,0x80000000,True,True,True,True
0x027c,0x0ace827c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0280,0x0ace8280,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0284,0x0ace8284,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0288,0x0ace8288,0x80000000,0x00000020,0x00000020,0x80000000,True,True,True,True
0x028c,0x0ace828c,0x80000000,0x00000030,0x00000030,0x80000000,True,True,True,True
0x0290,0x0ace8290,0x80000000,0x00000002,0x00000002,0x80000000,True,True,True,True
0x0294,0x0ace8294,0x80000000,0x00000009,0x00000009,0x80000000,True,True,True,True
0x0298,0x0ace8298,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x029c,0x0ace829c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02a0,0x0ace82a0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02a4,0x0ace82a4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02a8,0x0ace82a8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02ac,0x0ace82ac,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02b0,0x0ace82b0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02b4,0x0ace82b4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02b8,0x0ace82b8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02bc,0x0ace82bc,0x80000000,0x000000d0,0x000000d0,0x80000000,True,True,True,True
0x02c0,0x0ace82c0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02c4,0x0ace82c4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02c8,0x0ace82c8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02cc,0x0ace82cc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02d0,0x0ace82d0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02d4,0x0ace82d4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02d8,0x0ace82d8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02dc,0x0ace82dc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02e0,0x0ace82e0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02e4,0x0ace82e4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02e8,0x0ace82e8,0x80000000,0x0000007f,0x0000007f,0x80000000,True,True,True,True
0x02ec,0x0ace82ec,0x80000000,0x0000007f,0x0000007f,0x80000000,True,True,True,True
0x02f0,0x0ace82f0,0x80000000,0x000000ef,0x000000ef,0x80000000,True,True,True,True
0x02f4,0x0ace82f4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02f8,0x0ace82f8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x02fc,0x0ace82fc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0300,0x0ace8300,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0304,0x0ace8304,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0308,0x0ace8308,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x030c,0x0ace830c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0310,0x0ace8310,0x80000000,0x00000035,0x00000035,0x80000000,True,True,True,True
0x0314,0x0ace8314,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0318,0x0ace8318,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x031c,0x0ace831c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0320,0x0ace8320,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0324,0x0ace8324,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0328,0x0ace8328,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x032c,0x0ace832c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0330,0x0ace8330,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0334,0x0ace8334,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0338,0x0ace8338,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x033c,0x0ace833c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0340,0x0ace8340,0x80000000,0x00000067,0x00000067,0x80000000,True,True,True,True
0x0344,0x0ace8344,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0348,0x0ace8348,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x034c,0x0ace834c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0350,0x0ace8350,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0354,0x0ace8354,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0358,0x0ace8358,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x035c,0x0ace835c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0360,0x0ace8360,0x80000000,0x00000070,0x000000b0,0x80000000,False,False,True,True
0x0364,0x0ace8364,0x80000000,0x000000ff,0x000000ff,0x80000000,True,True,True,True
0x0368,0x0ace8368,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x036c,0x0ace836c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0370,0x0ace8370,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0374,0x0ace8374,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0378,0x0ace8378,0x80000000,0x0000006b,0x0000006a,0x80000000,False,False,True,True
0x037c,0x0ace837c,0x80000000,0x00000067,0x00000066,0x80000000,False,False,True,True
0x0380,0x0ace8380,0x80000000,0x00000037,0x00000038,0x80000000,False,False,True,True
0x0384,0x0ace8384,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0388,0x0ace8388,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x038c,0x0ace838c,0x80000000,0x00000003,0x00000003,0x80000000,True,True,True,True
0x0390,0x0ace8390,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0394,0x0ace8394,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0398,0x0ace8398,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x039c,0x0ace839c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03a0,0x0ace83a0,0x80000000,0x00000037,0x00000038,0x80000000,False,False,True,True
0x03a4,0x0ace83a4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03a8,0x0ace83a8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03ac,0x0ace83ac,0x80000000,0x00000003,0x00000003,0x80000000,True,True,True,True
0x03b0,0x0ace83b0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03b4,0x0ace83b4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03b8,0x0ace83b8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03bc,0x0ace83bc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03c0,0x0ace83c0,0x80000000,0x00000037,0x00000038,0x80000000,False,False,True,True
0x03c4,0x0ace83c4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03c8,0x0ace83c8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03cc,0x0ace83cc,0x80000000,0x00000003,0x00000003,0x80000000,True,True,True,True
0x03d0,0x0ace83d0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03d4,0x0ace83d4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03d8,0x0ace83d8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03dc,0x0ace83dc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03e0,0x0ace83e0,0x80000000,0x00000037,0x00000038,0x80000000,False,False,True,True
0x03e4,0x0ace83e4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03e8,0x0ace83e8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03ec,0x0ace83ec,0x80000000,0x00000003,0x00000003,0x80000000,True,True,True,True
0x03f0,0x0ace83f0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03f4,0x0ace83f4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03f8,0x0ace83f8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x03fc,0x0ace83fc,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0400,0x0ace8400,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0404,0x0ace8404,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0408,0x0ace8408,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x040c,0x0ace840c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0410,0x0ace8410,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0414,0x0ace8414,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0418,0x0ace8418,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x041c,0x0ace841c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0420,0x0ace8420,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0424,0x0ace8424,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0428,0x0ace8428,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x042c,0x0ace842c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0430,0x0ace8430,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0434,0x0ace8434,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
