client,name,register,offset,role,live1,live2,stable
16,STATS_BAF,bw_limit,0x1e1c,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,frame_header_addr,0x1e20,dynamic_buffer_address,0x00000000,0x00000000,1
16,STATS_BAF,frame_header_incr,0x1e24,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,frame_header_cfg,0x1e28,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,irq_subsample_period,0x1e30,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,irq_subsample_pattern,0x1e34,writable_config,0xffffffff,0xffffffff,1
16,STATS_BAF,framedrop_period,0x1e38,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,framedrop_pattern,0x1e3c,writable_config,0xffffffff,0xffffffff,1
16,STATS_BAF,meta_addr,0x1e40,dynamic_buffer_address,0x00000000,0x00000000,1
16,STATS_BAF,meta_cfg,0x1e44,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,mode_cfg,0x1e48,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,stats_ctrl,0x1e4c,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,ctrl_2,0x1e50,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,lossy_thresh0,0x1e54,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,lossy_thresh1,0x1e58,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,lossy_var_offset,0x1e5c,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,mmu_prefetch_cfg,0x1e60,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,mmu_prefetch_max_offset,0x1e64,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,system_cache_cfg,0x1e68,writable_config,0x00000000,0x00000000,1
16,STATS_BAF,addr_status0,0x1e70,status_readback,0x00000000,0x00000000,1
16,STATS_BAF,addr_status1,0x1e74,status_readback,0x00000000,0x00000000,1
16,STATS_BAF,addr_status2,0x1e78,status_readback,0x00000000,0x00000000,1
16,STATS_BAF,addr_status3,0x1e7c,status_readback,0x00000000,0x00000000,1
16,STATS_BAF,debug_status_cfg,0x1e80,writable_debug_config,0x00000000,0x00000000,1
16,STATS_BAF,debug_status0,0x1e84,status_readback,0x00000000,0x00000000,1
16,STATS_BAF,debug_status1,0x1e88,status_readback,0x00000000,0x00000000,1
17,STATS_BHIST,cfg,0x1f00,writable_config,0x00000010,0x00000010,1
17,STATS_BHIST,image_addr,0x1f04,dynamic_buffer_address,0x00000000,0x00000000,1
17,STATS_BHIST,frame_incr,0x1f08,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,image_cfg0,0x1f0c,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,image_cfg1,0x1f10,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,image_cfg2,0x1f14,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,packer_cfg,0x1f18,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,bw_limit,0x1f1c,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,frame_header_addr,0x1f20,dynamic_buffer_address,0x00000000,0x00000000,1
17,STATS_BHIST,frame_header_incr,0x1f24,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,frame_header_cfg,0x1f28,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,irq_subsample_period,0x1f30,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,irq_subsample_pattern,0x1f34,writable_config,0xffffffff,0xffffffff,1
17,STATS_BHIST,framedrop_period,0x1f38,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,framedrop_pattern,0x1f3c,writable_config,0xffffffff,0xffffffff,1
17,STATS_BHIST,meta_addr,0x1f40,dynamic_buffer_address,0x00000000,0x00000000,1
17,STATS_BHIST,meta_cfg,0x1f44,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,mode_cfg,0x1f48,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,stats_ctrl,0x1f4c,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,ctrl_2,0x1f50,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,lossy_thresh0,0x1f54,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,lossy_thresh1,0x1f58,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,lossy_var_offset,0x1f5c,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,mmu_prefetch_cfg,0x1f60,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,mmu_prefetch_max_offset,0x1f64,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,system_cache_cfg,0x1f68,writable_config,0x00000000,0x00000000,1
17,STATS_BHIST,addr_status0,0x1f70,status_readback,0x00000000,0x00000000,1
17,STATS_BHIST,addr_status1,0x1f74,status_readback,0x00000000,0x00000000,1
17,STATS_BHIST,addr_status2,0x1f78,status_readback,0x00000000,0x00000000,1
17,STATS_BHIST,addr_status3,0x1f7c,status_readback,0x00000000,0x00000000,1
17,STATS_BHIST,debug_status_cfg,0x1f80,writable_debug_config,0x00000000,0x00000000,1
17,STATS_BHIST,debug_status0,0x1f84,status_readback,0x00000000,0x00000000,1
17,STATS_BHIST,debug_status1,0x1f88,status_readback,0x00000000,0x00000000,1
18,STATS_RS,cfg,0x2000,writable_config,0x00010001,0x00010001,1
18,STATS_RS,image_addr,0x2004,dynamic_buffer_address,0x1642c000,0x1648c000,0
18,STATS_RS,frame_incr,0x2008,writable_config,0x00010000,0x00010000,1
18,STATS_RS,image_cfg0,0x200c,writable_config,0x00000000,0x00000000,1
18,STATS_RS,image_cfg1,0x2010,writable_config,0x00000000,0x00000000,1
18,STATS_RS,image_cfg2,0x2014,writable_config,0x00000001,0x00000001,1
18,STATS_RS,packer_cfg,0x2018,writable_config,0x00000008,0x00000008,1
18,STATS_RS,bw_limit,0x201c,writable_config,0x00000000,0x00000000,1
18,STATS_RS,frame_header_addr,0x2020,dynamic_buffer_address,0x00000000,0x00000000,1
18,STATS_RS,frame_header_incr,0x2024,writable_config,0x00000000,0x00000000,1
18,STATS_RS,frame_header_cfg,0x2028,writable_config,0x00000000,0x00000000,1
18,STATS_RS,irq_subsample_period,0x2030,writable_config,0x00000000,0x00000000,1
18,STATS_RS,irq_subsample_pattern,0x2034,writable_config,0x00000001,0x00000001,1
18,STATS_RS,framedrop_period,0x2038,writable_config,0x00000000,0x00000000,1
18,STATS_RS,framedrop_pattern,0x203c,writable_config,0x00000001,0x00000001,1
18,STATS_RS,meta_addr,0x2040,dynamic_buffer_address,0x00000000,0x00000000,1
18,STATS_RS,meta_cfg,0x2044,writable_config,0x00000000,0x00000000,1
18,STATS_RS,mode_cfg,0x2048,writable_config,0x00000000,0x00000000,1
18,STATS_RS,stats_ctrl,0x204c,writable_config,0x00000000,0x00000000,1
18,STATS_RS,ctrl_2,0x2050,writable_config,0x00000000,0x00000000,1
18,STATS_RS,lossy_thresh0,0x2054,writable_config,0x00000000,0x00000000,1
18,STATS_RS,lossy_thresh1,0x2058,writable_config,0x00000000,0x00000000,1
18,STATS_RS,lossy_var_offset,0x205c,writable_config,0x00000000,0x00000000,1
18,STATS_RS,mmu_prefetch_cfg,0x2060,writable_config,0x00000000,0x00000000,1
18,STATS_RS,mmu_prefetch_max_offset,0x2064,writable_config,0x00000000,0x00000000,1
18,STATS_RS,system_cache_cfg,0x2068,writable_config,0x00000000,0x00000000,1
18,STATS_RS,addr_status0,0x2070,status_readback,0x1642c000,0x1648c000,0
18,STATS_RS,addr_status1,0x2074,status_readback,0x00000000,0x00000000,1
18,STATS_RS,addr_status2,0x2078,status_readback,0x00000000,0x00000000,1
18,STATS_RS,addr_status3,0x207c,status_readback,0x1642c000,0x1648c000,0
18,STATS_RS,debug_status_cfg,0x2080,writable_debug_config,0x00000000,0x00000000,1
18,STATS_RS,debug_status0,0x2084,status_readback,0x00000000,0x00000000,1
18,STATS_RS,debug_status1,0x2088,status_readback,0x00000000,0x00000000,1
19,STATS_IHIST,cfg,0x2100,writable_config,0x00000010,0x00000010,1
19,STATS_IHIST,image_addr,0x2104,dynamic_buffer_address,0x00000000,0x00000000,1
19,STATS_IHIST,frame_incr,0x2108,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,image_cfg0,0x210c,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,image_cfg1,0x2110,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,image_cfg2,0x2114,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,packer_cfg,0x2118,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,bw_limit,0x211c,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,frame_header_addr,0x2120,dynamic_buffer_address,0x00000000,0x00000000,1
19,STATS_IHIST,frame_header_incr,0x2124,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,frame_header_cfg,0x2128,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,irq_subsample_period,0x2130,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,irq_subsample_pattern,0x2134,writable_config,0xffffffff,0xffffffff,1
19,STATS_IHIST,framedrop_period,0x2138,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,framedrop_pattern,0x213c,writable_config,0xffffffff,0xffffffff,1
19,STATS_IHIST,meta_addr,0x2140,dynamic_buffer_address,0x00000000,0x00000000,1
19,STATS_IHIST,meta_cfg,0x2144,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,mode_cfg,0x2148,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,stats_ctrl,0x214c,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,ctrl_2,0x2150,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,lossy_thresh0,0x2154,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,lossy_thresh1,0x2158,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,lossy_var_offset,0x215c,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,mmu_prefetch_cfg,0x2160,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,mmu_prefetch_max_offset,0x2164,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,system_cache_cfg,0x2168,writable_config,0x00000000,0x00000000,1
19,STATS_IHIST,addr_status0,0x2170,status_readback,0x00000000,0x00000000,1
19,STATS_IHIST,addr_status1,0x2174,status_readback,0x00000000,0x00000000,1
19,STATS_IHIST,addr_status2,0x2178,status_readback,0x00000000,0x00000000,1
19,STATS_IHIST,addr_status3,0x217c,status_readback,0x00000000,0x00000000,1
19,STATS_IHIST,debug_status_cfg,0x2180,writable_debug_config,0x00000000,0x00000000,1
19,STATS_IHIST,debug_status0,0x2184,status_readback,0x00000000,0x00000000,1
19,STATS_IHIST,debug_status1,0x2188,status_readback,0x00000000,0x00000000,1
20,SPARSE_PD,cfg,0x2200,writable_config,0x00000010,0x00000010,1
20,SPARSE_PD,image_addr,0x2204,dynamic_buffer_address,0x00000000,0x00000000,1
