stream_offset,command,register_offset,absolute_address,value,outside_linux_0x4000_mapping
0x0044,REG_CONT,0x005db0,0x0ac76db0,0x0000166a,1
0x0044,REG_CONT,0x005db4,0x0ac76db4,0x000016dd,1
0x0044,REG_CONT,0x005db8,0x0ac76db8,0x00001752,1
0x0044,REG_CONT,0x005dbc,0x0ac76dbc,0x000017ca,1
0x0044,REG_CONT,0x005dc0,0x0ac76dc0,0x00001845,1
0x0044,REG_CONT,0x005dc4,0x0ac76dc4,0x000018c2,1
0x0044,REG_CONT,0x005dc8,0x0ac76dc8,0x00001943,1
0x0044,REG_CONT,0x005dcc,0x0ac76dcc,0x000019c6,1
0x0044,REG_CONT,0x005dd0,0x0ac76dd0,0x00001a4d,1
0x0044,REG_CONT,0x005dd4,0x0ac76dd4,0x00001ad7,1
0x0044,REG_CONT,0x005dd8,0x0ac76dd8,0x00001b64,1
0x0044,REG_CONT,0x005ddc,0x0ac76ddc,0x00001bf4,1
0x0044,REG_CONT,0x005de0,0x0ac76de0,0x00001c88,1
0x0044,REG_CONT,0x005de4,0x0ac76de4,0x00001d1f,1
0x0044,REG_CONT,0x005de8,0x0ac76de8,0x00001dba,1
0x0044,REG_CONT,0x005dec,0x0ac76dec,0x00001e59,1
0x0044,REG_CONT,0x005df0,0x0ac76df0,0x00001efb,1
0x0044,REG_CONT,0x005df4,0x0ac76df4,0x00001fa2,1
0x0044,REG_CONT,0x005df8,0x0ac76df8,0x0000204c,1
0x0044,REG_CONT,0x005dfc,0x0ac76dfc,0x000020fb,1
0x0044,REG_CONT,0x005e00,0x0ac76e00,0x000021ae,1
0x0044,REG_CONT,0x005e04,0x0ac76e04,0x00002265,1
0x0044,REG_CONT,0x005e08,0x0ac76e08,0x00002321,1
0x0044,REG_CONT,0x005e0c,0x0ac76e0c,0x000023e2,1
0x0044,REG_CONT,0x005e10,0x0ac76e10,0x000024a7,1
0x0044,REG_CONT,0x005e14,0x0ac76e14,0x00002572,1
0x0044,REG_CONT,0x005e18,0x0ac76e18,0x00002641,1
0x0044,REG_CONT,0x005e1c,0x0ac76e1c,0x00002716,1
0x0044,REG_CONT,0x005e20,0x0ac76e20,0x000027f0,1
0x0044,REG_CONT,0x005e24,0x0ac76e24,0x000028d0,1
0x0044,REG_CONT,0x005e28,0x0ac76e28,0x000029b5,1
0x0044,REG_CONT,0x005e2c,0x0ac76e2c,0x00002aa0,1
0x0044,REG_CONT,0x005e30,0x0ac76e30,0x00002b92,1
0x0044,REG_CONT,0x005e34,0x0ac76e34,0x00002c89,1
0x0044,REG_CONT,0x005e38,0x0ac76e38,0x00002d87,1
0x0044,REG_CONT,0x005e3c,0x0ac76e3c,0x00002e8c,1
0x0044,REG_CONT,0x005e40,0x0ac76e40,0x00002f97,1
0x0044,REG_CONT,0x005e44,0x0ac76e44,0x000030aa,1
0x0044,REG_CONT,0x005e48,0x0ac76e48,0x000031c3,1
0x0044,REG_CONT,0x005e4c,0x0ac76e4c,0x000032e4,1
0x0044,REG_CONT,0x005e50,0x0ac76e50,0x0000340d,1
0x0044,REG_CONT,0x005e54,0x0ac76e54,0x0000353e,1
0x0044,REG_CONT,0x005e58,0x0ac76e58,0x00003677,1
0x0044,REG_CONT,0x005e5c,0x0ac76e5c,0x000037b8,1
0x0044,REG_CONT,0x005e60,0x0ac76e60,0x00003902,1
0x0044,REG_CONT,0x005e64,0x0ac76e64,0x00003a55,1
0x0044,REG_CONT,0x005e68,0x0ac76e68,0x00003bb1,1
0x0044,REG_CONT,0x005e6c,0x0ac76e6c,0x00003d17,1
0x0044,REG_CONT,0x005e70,0x0ac76e70,0x00003e86,1
0x0474,REG_CONT,0x00a860,0x0ac7b860,0x00000f07,1
0x0480,REG_CONT,0x00a868,0x0ac7b868,0x09016c7d,1
0x048c,REG_CONT,0x00a904,0x0ac7b904,0x00000167,1
0x048c,REG_CONT,0x00a908,0x0ac7b908,0x0000027f,1
0x049c,REG_CONT,0x00aa60,0x0ac7ba60,0x00000f07,1
0x04a8,REG_CONT,0x00ab04,0x0ac7bb04,0x000000b3,1
0x04a8,REG_CONT,0x00ab08,0x0ac7bb08,0x0000027f,1
0x04b8,REG_CONT,0x00002c,0x0ac7102c,0x00000000,0
0x04c4,REG_CONT,0x000024,0x0ac71024,0x00006000,0
0x04d0,REG_CONT,0x00008c,0x0ac7108c,0x0a503000,0
0x04dc,REG_CONT,0x000090,0x0ac71090,0x00000001,0
